ID,Display name,Ox,Oy
35866,6,540279.7,170756.1
35747,6,544185.5,171922.4
35465,6,541908.9,173013.5
35349,6,543414.8,167442.5
35275,6,538038.1,169866.8
34901,6,546461.9,168579.1
34832,6,544108.0,167622.3
34673,6,545617.0,167024.3
34602,6,542244.5,172327.8
34482,6,537728.7,169516.7
34449,6,546023.1,164360.1
34425,6,546327.6,169313.2
34278,6,539917.4,167959.0
34108,6,545070.0,165550.1
33826,6,542360.8,158756.0
33789,6,544589.0,167510.2
32929,6,539374.3,165179.7
32740,6,545821.4,166753.8
32650,6,546467.1,165722.9
31947,6,541474.5,158183.7
31719,6,543998.2,165969.8
31058,6,536172.6,171112.3
30837,6,538214.8,168854.1
30834,6,538251.3,168716.7
30521,6,538118.5,168354.3
30446,6,545879.7,164354.7
30311,6,544010.8,166102.0
30247,6,542327.8,168131.2
30155,6,541965.1,168645.4
30008,6,538193.5,169305.4
29889,6,536158.6,171107.5
29841,6,539644.2,167422.1
29672,6,541354.4,169122.9
29645,6,544075.2,166994.9
29447,6,547645.5,165950.1
29163,6,547189.4,164875.4
28784,6,546692.2,170440.0
28502,6,541185.0,168581.3
28349,6,539152.7,166904.3
28337,6,545621.5,164311.5
28276,6,536711.0,169317.8
27910,6,546113.9,169657.8
27445,6,545274.8,165079.7
27389,6,546968.3,167930.0
27373,6,542220.9,168943.4
27242,6,541382.7,158408.9
27215,6,546432.8,169796.4
27106,6,546455.6,166172.1
27105,6,546461.2,166166.7
27057,6,540002.8,166970.9
26775,6,541821.6,159064.4
26590,6,540025.1,170810.3
26502,6,541494.2,159101.8
26458,6,545589.0,166912.9
26434,6,543691.7,167541.2
26403,6,536261.8,170143.4
26037,6,538688.2,167322.1
25844,6,544529.5,168032.6
25766,6,544652.3,165853.4
25396,6,541494.5,164282.4
25170,6,541329.9,161173.0
25073,6,539548.1,169005.3
24934,6,539917.8,168268.2
24872,6,544465.6,165856.7
24389,6,540577.4,169052.3
24341,6,544539.7,167871.4
24262,6,546136.9,166923.8
23969,6,546381.0,164534.3
23033,6,542716.1,167628.4
22938,6,542333.2,158863.9
22857,6,541835.9,171852.7
22832,6,545609.8,164400.8
22527,6,544501.1,167043.7
22473,6,543658.6,167546.8
22413,6,538521.2,169400.1
22340,6,545442.6,164814.0
22289,6,546306.1,166387.5
21928,6,542727.7,168159.6
21517,6,545032.1,165810.3
21266,6,536090.0,168071.2
20713,6,542734.9,171521.2
20541,6,542207.7,168962.9
20363,6,545596.2,169574.2
20004,6,540311.0,167850.0
19974,6,544984.1,165802.8
19973,6,545101.4,165789.8
19859,6,535227.7,170825.2
19549,6,546116.3,164355.9
19548,6,546128.6,164353.9
19258,6,539628.4,167885.6
18948,6,547100.9,164848.2
18586,6,548315.5,163632.0
18521,6,543962.4,167370.1
18493,6,538696.6,168942.5
18432,6,545742.3,166961.2
18303,6,540373.1,169856.7
18248,6,547771.6,164351.1
18179,6,543412.5,167607.7
18102,6,546965.4,165369.9
18002,6,546968.7,165325.3
17953,6,542071.4,165156.3
17927,6,542902.2,167861.4
17926,6,542892.3,167789.2
59993,5,543798.2,164467.8
